[ 2017-07-11T15:01:06+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-11T15:01:06+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-11T15:01:11+08:00 ] 127.0.0.1 /Public/doLogin.html
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007650s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.006080s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.009087s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user` WHERE username='qjx' LIMIT 1   [ RunTime:0.007127s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007640s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006262s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `lasttime`='2017-07-11 15:01:11',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.006618s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: UPDATE `user` SET `logincount`=logincount+1,`lasttime`='2017-07-11 15:01:11',`lastip`='127.0.0.1' WHERE username='qjx' [ RunTime:0.008478s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_token` [ RunTime:0.007212s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SELECT * FROM `user_token` WHERE username='qjx' LIMIT 1   [ RunTime:0.008444s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: UPDATE `user_token` SET `token`='94a37ce53796d7aca28650b39f0660df',`username`='qjx',`logintime`='2017-07-11 15:01:11' WHERE username='qjx' [ RunTime:0.005548s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.007874s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: SHOW COLUMNS FROM `user_operate` [ RunTime:0.006946s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/doLogin.html | SQL: INSERT INTO `user_operate` (`status`,`userid`,`remark`,`type`,`ip`,`timeadd`) VALUES (1,'1','用户登录',1,'127.0.0.1','2017-07-11 15:01:11') [ RunTime:0.008631s ]

[ 2017-07-11T15:01:11+08:00 ] 127.0.0.1 /
[ 2017-07-11T15:01:11+08:00 ] / | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006172s ]
[ 2017-07-11T15:01:11+08:00 ] / | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.004965s ]
[ 2017-07-11T15:01:11+08:00 ] / | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006641s ]
[ 2017-07-11T15:01:11+08:00 ] / | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006518s ]
[ 2017-07-11T15:01:11+08:00 ] / | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.004637s ]

[ 2017-07-11T15:01:11+08:00 ] 127.0.0.1 /Public/getJsMenu.html
[ 2017-07-11T15:01:11+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.013142s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/getJsMenu.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.007031s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.008300s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.007015s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/getJsMenu.html | SQL: SELECT `groupid` FROM `user` WHERE id='1' LIMIT 1   [ RunTime:0.012353s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/getJsMenu.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.009321s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/getJsMenu.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 and ar.groupid='1' ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008135s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/getJsMenu.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006834s ]
[ 2017-07-11T15:01:11+08:00 ] /Public/getJsMenu.html | SQL: SELECT * FROM `auth_rule` WHERE pid=0 and status=1 and groupid='1' ORDER BY sort desc,timeadd asc  [ RunTime:0.007624s ]

[ 2017-07-11T15:01:11+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-11T15:01:11+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块favicon.ico
[ 2017-07-11T15:01:12+08:00 ] 127.0.0.1 /Index/system.html
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.007283s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.009537s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.009961s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007307s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.007493s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `common` [ RunTime:0.006938s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `member` [ RunTime:0.009247s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SELECT COUNT(*) AS tp_count FROM member m,member_info mi,business_company bus,business_channel bc,channel_company cha WHERE ( m.id=mi.memberid and m.business_company_id=bus.id  and  bus.id=bc.business_company_id  and bc.channel_company_id=cha.id ) LIMIT 1   [ RunTime:0.008270s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SELECT m.*,mi.names,mi.certiNumber,mi.nameStatus,cha.companyname as channel_companyname,bus.companyname as business_companyname FROM member m,member_info mi,business_company bus,business_channel bc,channel_company cha WHERE ( m.id=mi.memberid and m.business_company_id=bus.id  and  bus.id=bc.business_company_id  and bc.channel_company_id=cha.id )  [ RunTime:0.010903s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `member_import` [ RunTime:0.006793s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SELECT * FROM `member_import` WHERE ( `business_company_id` = '35' ) AND ( `certiNumber` = '371324199102144316' ) LIMIT 1   [ RunTime:0.006937s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SHOW COLUMNS FROM `baofu_bindcard` [ RunTime:0.007069s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SELECT `acc_no` FROM `baofu_bindcard` WHERE ( `memberid` = '6' ) LIMIT 1   [ RunTime:0.007305s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SELECT * FROM `member_import` WHERE ( `business_company_id` = '35' ) AND ( `certiNumber` = '430581198911176536' ) LIMIT 1   [ RunTime:0.006376s ]
[ 2017-07-11T15:01:12+08:00 ] /Index/system.html | SQL: SELECT `acc_no` FROM `baofu_bindcard` WHERE ( `memberid` = '7' ) LIMIT 1   [ RunTime:0.007487s ]
