[ 2017-07-03T13:43:26+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-07-03T13:47:47+08:00 ] 127.0.0.1 /Index/index
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Tag[ route_check ] --START--
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000387s ]
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000445s ]
[ 2017-07-03T13:47:47+08:00 ] /Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-07-03T13:47:47+08:00 ] /Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Tag[ app_begin ] --START--
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000299s ]
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000323s ]
[ 2017-07-03T13:47:47+08:00 ] /Index/index | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 131 行.
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Tag[ view_template ] --START--
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000964s ]
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001012s ]
[ 2017-07-03T13:47:47+08:00 ] /Index/index | INFO: Tag[ view_parse ] --START--
[ 2017-07-03T13:47:47+08:00 ] /Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
